Ticker,Date,Montant
BNP.PA,2025-09-22,25.9
TTE.PA,2025-10-03,17.0
OR.PA,2025-12-04,13.5
OR.PA,2025-12-04,13.5
ORA.PA,2026-01-14,13.5
TTE.PA,2026-04-03,41.65
DG.PA,2026-04-27,3.95
OR.PA,2026-05-04,14.4
DG.PA,2026-05-04,3.95
ENGI.PA,2026-05-31,91.0
BNP.PA,2026-05-31,25.7
AI.PA,2026-05-31,22.2
CS.PA,2026-05-31,23.2
SAN.PA,2026-05-31,61.86
SGO.PA,2026-06-11,20.7
AI.PA,2026-07-23,100.7
