Nom,ISIN,Ticker,Seuil_Alerte
AB science,AB.PA,AB.PA,1.447
ACTIA GROUP,ALATI.PA,ALATI.PA,2.8
LECTRA,LSS.PA,LSS.PA,22.0
ADOCIA,ADOC.PA,ADOC.PA,6.3
CROSSJECT,ALCJ.PA,ALCJ.PA,1.98
EXAIL TECHNOLOGIES,EXA.PA,EXA.PA,80.0
NABIOTIX,NANO.PA,NANO.PA,18.8
EXOSENS,EXENS.PA,EXENS.PA,45.0
DRONEVOLT,ALDRV.PA,ALDRV.PA,0.65
ID LOGISTICS,IDL.PA,IDL.PA,390.0
VIRBAC,VIRP.PA,VIRP.PA,300.0
ARVENE,ARVEN.PA,ARVEN.PA,4.97
